@logo      B&M-General Particle Tracer
numderivs           0
cputime     6.000e+00
position    3.850e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
   2.130e-08  2.366e-08  3.850e-01  3.184e-08 -8.479e-04  7.221e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.100e+01 
  -3.483e-10  2.092e-10  3.850e-01  4.063e-10 -7.384e-04 -5.530e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.200e+01 
  -5.187e-09  4.484e-09  3.850e-01  6.856e-09  5.071e-03  1.540e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.300e+01 
   2.307e-11 -4.132e-09  3.850e-01  4.132e-09 -2.776e-03  2.599e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.400e+01 
   9.091e-09  1.174e-09  3.850e-01  9.166e-09 -1.465e-03 -6.291e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.500e+01 
   2.813e-09 -3.891e-09  3.850e-01  4.802e-09  1.786e-03 -2.117e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.600e+01 
   1.062e-08  2.435e-08  3.850e-01  2.657e-08  2.015e-03  5.568e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.700e+01 
  -1.487e-08 -1.609e-09  3.850e-01  1.495e-08 -4.549e-03 -8.122e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.800e+01 
   9.748e-10 -1.815e-08  3.850e-01  1.818e-08  6.860e-03 -1.199e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.900e+01 
   1.622e-09  3.902e-11  3.850e-01  1.623e-09 -7.108e-04  1.936e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+01 
  -9.242e-09  6.858e-09  3.850e-01  1.151e-08 -3.597e-03 -4.304e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.100e+01 
  -3.044e-09  6.954e-09  3.850e-01  7.591e-09  3.655e-03  2.130e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.200e+01 
  -1.577e-08 -1.284e-08  3.850e-01  2.034e-08 -5.839e-03  3.338e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.300e+01 
   4.678e-09 -1.018e-10  3.850e-01  4.679e-09  1.292e-05 -3.328e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.400e+01 
