@logo      B&M-General Particle Tracer
numderivs           0
cputime     5.000e+00
position    3.850e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
  -2.389e-07 -2.489e-08  3.850e-01  2.402e-07 -1.000e-03  7.262e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.100e+01 
   2.431e-09 -3.025e-09  3.850e-01  3.881e-09 -7.377e-04 -5.555e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.200e+01 
   1.333e-07 -1.961e-08  3.850e-01  1.348e-07  5.139e-03  1.491e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.300e+01 
  -2.493e-08  6.390e-08  3.850e-01  6.859e-08 -2.772e-03  2.642e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.400e+01 
  -1.247e-07 -1.589e-07  3.850e-01  2.020e-07 -1.578e-03 -6.342e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.500e+01 
  -1.862e-08  2.821e-08  3.850e-01  3.380e-08  1.783e-03 -2.095e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.600e+01 
  -6.725e-08 -1.334e-07  3.850e-01  1.494e-07  1.933e-03  5.503e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.700e+01 
   9.213e-08  5.347e-09  3.850e-01  9.229e-08 -4.489e-03 -8.362e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.800e+01 
   1.761e-07  1.498e-07  3.850e-01  2.312e-07  6.997e-03 -1.154e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.900e+01 
  -1.883e-08  5.996e-09  3.850e-01  1.976e-08 -7.203e-04  1.944e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+01 
   2.831e-08 -1.462e-07  3.850e-01  1.489e-07 -3.617e-03 -4.396e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.100e+01 
   6.899e-08 -4.653e-08  3.850e-01  8.322e-08  3.680e-03  2.083e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.200e+01 
   1.044e-08  2.120e-07  3.850e-01  2.122e-07 -5.767e-03  3.452e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.300e+01 
  -4.629e-08 -2.218e-08  3.850e-01  5.133e-08 -2.015e-05 -3.326e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.400e+01 
  -1.210e-08  1.666e-07  3.850e-01  1.671e-07  5.013e-03 -3.588e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.500e+01 
  -8.927e-08 -6.177e-08  3.850e-01  1.086e-07  4.974e-04  4.927e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.600e+01 
   2.016e-07 -9.965e-08  3.850e-01  2.249e-07 -6.526e-03 -2.980e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.700e+01 
   1.145e-08  3.417e-09  3.850e-01  1.195e-08  1.602e-03  9.683e-05  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.800e+01 
  -1.037e-07  9.943e-08  3.850e-01  1.436e-07 -3.044e-03  4.631e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.900e+01 
  -1.816e-08 -7.484e-08  3.850e-01  7.701e-08 -1.823e-03 -3.635e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.000e+01 
   9.988e-08 -1.673e-07  3.850e-01  1.949e-07  4.789e-03  4.421e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.100e+01 
   2.183e-08  3.629e-08  3.850e-01  4.235e-08 -2.913e-03  8.822e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.200e+01 
  -1.645e-07 -1.535e-09  3.850e-01  1.645e-07  1.325e-03 -5.841e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.300e+01 
  -7.923e-08  6.076e-08  3.850e-01  9.984e-08  2.463e-03 -4.044e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.400e+01 
  -2.589e-08 -2.118e-07  3.850e-01  2.134e-07  3.336e-03  6.109e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.500e+01 
   2.448e-08  9.917e-09  3.850e-01  2.641e-08 -2.425e-03 -5.605e-05  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.600e+01 
   8.124e-08  1.300e-07  3.850e-01  1.533e-07  5.535e-03 -1.800e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.700e+01 
  -9.013e-08  2.049e-09  3.850e-01  9.015e-08 -9.142e-04  4.363e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.800e+01 
   9.972e-08 -1.923e-07  3.850e-01  2.166e-07 -5.138e-03 -4.644e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.900e+01 
   5.745e-08 -1.775e-08  3.850e-01  6.013e-08  3.356e-03  1.273e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.000e+01 
  -4.544e-08  1.867e-07  3.850e-01  1.921e-07 -4.912e-03  4.068e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.100e+01 
  -9.143e-08 -8.618e-08  3.850e-01  1.256e-07 -8.494e-04 -5.100e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.200e+01 
